fold,start,end,MAE,MAPE,Model
1,180,193,120.874428405724,10.168268838675784,SARIMAX
2,360,373,220.7084087625371,19.05574806740349,SARIMAX
3,540,553,65.51956176897893,5.665917256089136,SARIMAX
4,720,733,93.2909605071065,8.320791627544375,SARIMAX
5,900,913,70.4587086228888,6.043265404490143,SARIMAX
6,1080,1093,51.26755467171521,4.689661588180679,SARIMAX
1,0,179,131.5104886300223,10.969150846136635,XGBoost
2,0,359,133.7727533830915,10.996633356552389,XGBoost
3,0,539,152.00750418526786,11.86854058823783,XGBoost
4,0,719,113.74030221121652,9.408328935059291,XGBoost
5,0,899,99.84630824497764,8.3146410156948,XGBoost
6,0,1079,79.01087262834824,6.844837674457831,XGBoost
